sourceTypeID,roadTypeID,hourDayID,avgSpeedBinID,avgSpeedFraction
11,2,12,1,0.00403487
11,2,12,2,0.00283527
11,2,12,3,0.000713185
11,2,12,4,0.000330347
11,2,12,5,0.000733964
11,2,12,6,0.0011554
11,2,12,7,0.00117001
11,2,12,8,0.00116586
11,2,12,9,0.00147181
11,2,12,10,0.00329584
11,2,12,11,0.0103601
11,2,12,12,0.0272653
11,2,12,13,0.0651405
11,2,12,14,0.136245
11,2,12,15,0.233732
11,2,12,16,0.510351
11,2,15,1,0.00462107
11,2,15,2,0.00373299
11,2,15,3,0.00103404
11,2,15,4,0.000810719
11,2,15,5,0.000723711
11,2,15,6,0.000820448
11,2,15,7,0.00164361
11,2,15,8,0.00264408
11,2,15,9,0.00495247
11,2,15,10,0.00706917
11,2,15,11,0.0154271
11,2,15,12,0.0306165
11,2,15,13,0.0850186
11,2,15,14,0.161779
11,2,15,15,0.228588
11,2,15,16,0.450519
11,2,22,1,0.00256832
11,2,22,2,0.00216548
11,2,22,3,0.00101577
11,2,22,4,0.000725006
11,2,22,5,0.000996701
11,2,22,6,0.000950264
11,2,22,7,0.00116204
11,2,22,8,0.00219803
11,2,22,9,0.00262967
11,2,22,10,0.00542469
11,2,22,11,0.0121326
11,2,22,12,0.0311179
11,2,22,13,0.073117
11,2,22,14,0.157427
11,2,22,15,0.228757
11,2,22,16,0.477613
11,2,25,1,0.00179786
11,2,25,2,0.00183632
11,2,25,3,0.00164589
11,2,25,4,0.00183186
11,2,25,5,0.000572028
11,2,25,6,0.000805618
11,2,25,7,0.00161329
11,2,25,8,0.00223224
11,2,25,9,0.00379559
11,2,25,10,0.00803701
11,2,25,11,0.0159247
11,2,25,12,0.0367977
11,2,25,13,0.0962703
11,2,25,14,0.183595
11,2,25,15,0.238275
11,2,25,16,0.40497
11,2,32,1,0.00137235
11,2,32,2,0.00268721
11,2,32,3,0.00197512
11,2,32,4,0.00121548
11,2,32,5,0.00148914
11,2,32,6,0.00125787
11,2,32,7,0.00181859
11,2,32,8,0.00238696
11,2,32,9,0.00276264
11,2,32,10,0.00645436
11,2,32,11,0.0144216
11,2,32,12,0.0299449
11,2,32,13,0.0905431
11,2,32,14,0.169833
11,2,32,15,0.230766
11,2,32,16,0.441072
11,2,35,1,0.00115173
11,2,35,2,0.00142095
11,2,35,3,0.00126436
11,2,35,4,0.00127072
11,2,35,5,0.00132801
11,2,35,6,0.00160927
11,2,35,7,0.00225861
11,2,35,8,0.00262449
11,2,35,9,0.00507547
11,2,35,10,0.00946316
11,2,35,11,0.0169757
11,2,35,12,0.0377569
11,2,35,13,0.0987605
11,2,35,14,0.207911
11,2,35,15,0.25175
11,2,35,16,0.359379
11,2,42,1,0.00177652
11,2,42,2,0.00104076
11,2,42,3,0.000657354
11,2,42,4,0.00059107
11,2,42,5,0.000941832
11,2,42,6,0.00137406
11,2,42,7,0.00162176
11,2,42,8,0.00280788
11,2,42,9,0.00267567
11,2,42,10,0.00503732
11,2,42,11,0.0117429
11,2,42,12,0.028686
11,2,42,13,0.0834098
11,2,42,14,0.167397
11,2,42,15,0.239454
11,2,42,16,0.450787
11,2,45,1,0.00190494
11,2,45,2,0.00153058
11,2,45,3,0.00122793
11,2,45,4,0.00130479
11,2,45,5,0.00127748
11,2,45,6,0.00115067
11,2,45,7,0.00258909
11,2,45,8,0.00308056
11,2,45,9,0.00447972
11,2,45,10,0.00831919
11,2,45,11,0.0164747
11,2,45,12,0.037215
11,2,45,13,0.103352
11,2,45,14,0.226104
11,2,45,15,0.255804
11,2,45,16,0.334186
11,2,52,1,0.00249124
11,2,52,2,0.00160272
11,2,52,3,0.000924867
11,2,52,4,0.000869585
11,2,52,5,0.00162167
11,2,52,6,0.00146011
11,2,52,7,0.00280171
11,2,52,8,0.00224403
11,2,52,9,0.00419643
11,2,52,10,0.00552986
11,2,52,11,0.0155054
11,2,52,12,0.0317039
11,2,52,13,0.0899686
11,2,52,14,0.165954
11,2,52,15,0.22951
11,2,52,16,0.443616
