yearID,sourceTypeID,salesGrowthFactor,sourceTypePopulation,migrationrate
2014,61,0,1390135,1
2014,62,0,1187062,1
2015,11,0,8600936,1
2015,21,0,112864228,1
2015,31,0,116820608,1
2015,32,0,13232356,1
2015,41,0,300197,1
2015,42,0,103669,1
2015,43,0,485041,1
2015,51,0,50465,1
2015,52,0,7332377,1
2015,53,0,323389,1
2015,54,0,750071,1
2015,61,0,1475246,1
2015,62,0,1271636,1
2016,11,0,8679380,1
2016,21,0,112961266,1
2016,31,0,121394421,1
2016,32,0,13289294,1
2016,41,0,316211,1
2016,42,0,106871,1
2016,43,0,474194,1
2016,51,0,50882,1
2016,52,0,7558232,1
2016,53,0,333350,1
2016,54,0,804054,1
2016,61,0,1471590,1
2016,62,0,1280453,1
2017,11,0,8715204,1
2017,21,0,111177029,1
2017,31,0,126052567,1
2017,32,0,13323652,1
2017,41,0,326070,1
2017,42,0,108115,1
2017,43,0,471461,1
2017,51,0,52913,1
2017,52,0,8040961,1
2017,53,0,354641,1
2017,54,0,888483,1
2017,61,0,1539789,1
2017,62,0,1352429,1
2018,11,0,8666185,1
2018,21,0,108570167,1
2018,31,0,128989018,1
2018,32,0,13150673,1
2018,41,0,331220,1
2018,42,0,106645,1
2018,43,0,476150,1
2018,51,0,56975,1
2018,52,0,8863868,1
2018,53,0,390935,1
2018,54,0,1016121,1
2018,61,0,1540344,1
2018,62,0,1365667,1
2019,11,0,8596314,1
2019,21,0,108547710,1
2019,31,0,132273282,1
2019,32,0,12993192,1
2019,41,0,334857,1
2019,42,0,107660,1
2019,43,0,479867,1
2019,51,0,54524,1
2019,52,0,8690184,1
2019,53,0,383274,1
2019,54,0,1032451,1
2019,61,0,1543687,1
2019,62,0,1381523,1
2020,11,0,8347435,1
2020,21,0,105135300,1
2020,31,0,135714463,1
2020,32,0,12829494,1
2020,41,0,340394,1
2020,42,0,107199,1
2020,43,0,483161,1
2020,51,0,51681,1
2020,52,0,8445415,1
2020,53,0,372479,1
2020,54,0,1038834,1
2020,61,0,1571399,1
2020,62,0,1419563,1
2021,11,0,9795491,1
2021,21,0,102973881,1
2021,31,0,141307570,1
2021,32,0,13396505,1
2021,41,0,346059,1
2021,42,0,106610,1
2021,43,0,486454,1
2021,51,0,54059,1
2021,52,0,9152062,1
2021,53,0,403645,1
2021,54,0,1103783,1
2021,61,0,1643859,1
2021,62,0,1498995,1
2022,11,0,9567664,1
2022,21,0,99946870,1
2022,31,0,144828919,1
2022,32,0,13769593,1
2022,41,0,360240,1
2022,42,0,104131,1
2022,43,0,489748,1
2022,51,0,54044,1
2022,52,0,9489609,1
2022,53,0,418532,1
2022,54,0,1121812,1
2022,61,0,1699809,1
2022,62,0,1550015,1
2023,11,0,9588387,1
2023,21,0,97950475,1
2023,31,0,147741538,1
2023,32,0,14046510,1
2023,41,0,368351,1
2023,42,0,106476,1
2023,43,0,500775,1
2023,51,0,55505,1
2023,52,0,9746209,1
2023,53,0,429849,1
2023,54,0,1152146,1
2023,61,0,1725984,1
2023,62,0,1573883,1
2024,11,0,9627377,1
2024,21,0,96079762,1
2024,31,0,151037970,1
2024,32,0,14359918,1
2024,41,0,376892,1
2024,42,0,108944,1
2024,43,0,512386,1
2024,51,0,57070,1
2024,52,0,10020895,1
2024,53,0,441964,1
2024,54,0,1184618,1
2024,61,0,1752277,1
2024,62,0,1597859,1
2025,11,0,9672530,1
2025,21,0,94141077,1
2025,31,0,154616987,1
2025,32,0,14700192,1
2025,41,0,385772,1
2025,42,0,111511,1
2025,43,0,524459,1
2025,51,0,58709,1
2025,52,0,10308783,1
2025,53,0,454661,1
2025,54,0,1218650,1
2025,61,0,1778974,1
2025,62,0,1622203,1
2026,11,0,9719362,1
2026,21,0,92183949,1
2026,31,0,158279863,1
2026,32,0,15048440,1
2026,41,0,394925,1
2026,42,0,114157,1
2026,43,0,536903,1
2026,51,0,60389,1
2026,52,0,10603725,1
2026,53,0,467669,1
2026,54,0,1253517,1
2026,61,0,1806997,1
2026,62,0,1647757,1
2027,11,0,9761851,1
2027,21,0,90181690,1
2027,31,0,161889657,1
2027,32,0,15391641,1
2027,41,0,404286,1
2027,42,0,116863,1
2027,43,0,549629,1
2027,51,0,62092,1
2027,52,0,10902722,1
2027,53,0,480856,1
2027,54,0,1288863,1
2027,61,0,1836398,1
2027,62,0,1674567,1
2028,11,0,9797208,1
2028,21,0,88107368,1
2028,31,0,165397453,1
2028,32,0,15725144,1
2028,41,0,413475,1
2028,42,0,119519,1
2028,43,0,562121,1
2028,51,0,63773,1
2028,52,0,11197930,1
2028,53,0,493876,1
2028,54,0,1323761,1
2028,61,0,1864778,1
2028,62,0,1700446,1
2029,11,0,9832622,1
2029,21,0,86046008,1
2029,31,0,168885842,1
2029,32,0,16056802,1
2029,41,0,422047,1
2029,42,0,121997,1
2029,43,0,573775,1
2029,51,0,65389,1
2029,52,0,11481713,1
2029,53,0,506392,1
2029,54,0,1357308,1
2029,61,0,1888893,1
2029,62,0,1722436,1
2030,11,0,9862757,1
2030,21,0,83984330,1
2030,31,0,172234045,1
2030,32,0,16375132,1
2030,41,0,430086,1
2030,42,0,124321,1
2030,43,0,584704,1
2030,51,0,66952,1
2030,52,0,11756082,1
2030,53,0,518493,1
2030,54,0,1389743,1
2030,61,0,1909190,1
2030,62,0,1740944,1
2031,11,0,9887812,1
2031,21,0,81938567,1
2031,31,0,175419885,1
2031,32,0,16678026,1
2031,41,0,437540,1
2031,42,0,126475,1
2031,43,0,594838,1
2031,51,0,68428,1
2031,52,0,12015244,1
2031,53,0,529923,1
2031,54,0,1420379,1
2031,61,0,1926662,1
2031,62,0,1756877,1
2032,11,0,9909241,1
2032,21,0,79955493,1
2032,31,0,178443879,1
2032,32,0,16965531,1
2032,41,0,444815,1
2032,42,0,128578,1
2032,43,0,604728,1
2032,51,0,69901,1
2032,52,0,12273979,1
2032,53,0,541335,1
2032,54,0,1450966,1
2032,61,0,1942081,1
2032,62,0,1770937,1
2033,11,0,9927373,1
2033,21,0,78041522,1
2033,31,0,181283816,1
2033,32,0,17235538,1
2033,41,0,451433,1
2033,42,0,130491,1
2033,43,0,613725,1
2033,51,0,71264,1
2033,52,0,12513206,1
2033,53,0,551885,1
2033,54,0,1479246,1
2033,61,0,1955025,1
2033,62,0,1782740,1
2034,11,0,9943225,1
2034,21,0,76232705,1
2034,31,0,183930306,1
2034,32,0,17487153,1
2034,41,0,457560,1
2034,42,0,132262,1
2034,43,0,622055,1
2034,51,0,72576,1
2034,52,0,12743676,1
2034,53,0,562050,1
2034,54,0,1506491,1
2034,61,0,1964476,1
2034,62,0,1791358,1
2035,11,0,9962447,1
2035,21,0,74574885,1
2035,31,0,186476063,1
2035,32,0,17729190,1
2035,41,0,463733,1
2035,42,0,134047,1
2035,43,0,630448,1
2035,51,0,73889,1
2035,52,0,12974134,1
2035,53,0,572214,1
2035,54,0,1533734,1
2035,61,0,1974487,1
2035,62,0,1800487,1
2036,11,0,9987663,1
2036,21,0,73123865,1
2036,31,0,188930883,1
2036,32,0,17962582,1
2036,41,0,470207,1
2036,42,0,135918,1
2036,43,0,639249,1
2036,51,0,75238,1
2036,52,0,13211067,1
2036,53,0,582664,1
2036,54,0,1561743,1
2036,61,0,1986323,1
2036,62,0,1811280,1
2037,11,0,10018606,1
2037,21,0,71878523,1
2037,31,0,191284014,1
2037,32,0,18186306,1
2037,41,0,476797,1
2037,42,0,137823,1
2037,43,0,648208,1
2037,51,0,76612,1
2037,52,0,13452299,1
2037,53,0,593303,1
2037,54,0,1590261,1
2037,61,0,1998366,1
2037,62,0,1822262,1
2038,11,0,10056737,1
2038,21,0,70846556,1
2038,31,0,193567740,1
2038,32,0,18403431,1
2038,41,0,483360,1
2038,42,0,139720,1
2038,43,0,657131,1
2038,51,0,77988,1
2038,52,0,13694028,1
2038,53,0,603965,1
2038,54,0,1618836,1
2038,61,0,2009936,1
2038,62,0,1832812,1
2039,11,0,10101118,1
2039,21,0,70001880,1
2039,31,0,195797147,1
2039,32,0,18615391,1
2039,41,0,489601,1
2039,42,0,141524,1
2039,43,0,665615,1
2039,51,0,79345,1
2039,52,0,13932305,1
2039,53,0,614474,1
2039,54,0,1647004,1
2039,61,0,2018568,1
2039,62,0,1840684,1
2040,11,0,10152827,1
2040,21,0,69333536,1
2040,31,0,198008279,1
2040,32,0,18825615,1
2040,41,0,495518,1
2040,42,0,143234,1
2040,43,0,673659,1
2040,51,0,80665,1
2040,52,0,14163964,1
2040,53,0,624691,1
2040,54,0,1674390,1
2040,61,0,2025125,1
2040,62,0,1846663,1
2041,11,0,10207183,1
2041,21,0,68786720,1
2041,31,0,200155731,1
2041,32,0,19029783,1
2041,41,0,501234,1
2041,42,0,144887,1
2041,43,0,681430,1
2041,51,0,82009,1
2041,52,0,14399970,1
2041,53,0,635100,1
2041,54,0,1702289,1
2041,61,0,2028020,1
2041,62,0,1849303,1
2042,11,0,10264167,1
2042,21,0,68342485,1
2042,31,0,202256398,1
2042,32,0,19229504,1
2042,41,0,507216,1
2042,42,0,146616,1
2042,43,0,689562,1
2042,51,0,83350,1
2042,52,0,14635442,1
2042,53,0,645485,1
2042,54,0,1730126,1
2042,61,0,2034297,1
2042,62,0,1855027,1
2043,11,0,10322095,1
2043,21,0,67953475,1
2043,31,0,204335311,1
2043,32,0,19427156,1
2043,41,0,513860,1
2043,42,0,148536,1
2043,43,0,698595,1
2043,51,0,84813,1
2043,52,0,14892408,1
2043,53,0,656818,1
2043,54,0,1760503,1
2043,61,0,2042564,1
2043,62,0,1862565,1
2044,11,0,10381193,1
2044,21,0,67622150,1
2044,31,0,206389451,1
2044,32,0,19622454,1
2044,41,0,521006,1
2044,42,0,150602,1
2044,43,0,708310,1
2044,51,0,86365,1
2044,52,0,15164793,1
2044,53,0,668832,1
2044,54,0,1792703,1
2044,61,0,2052572,1
2044,62,0,1871691,1
2045,11,0,10442100,1
2045,21,0,67338410,1
2045,31,0,208434012,1
2045,32,0,19816840,1
2045,41,0,527969,1
2045,42,0,152615,1
2045,43,0,717776,1
2045,51,0,87882,1
2045,52,0,15431262,1
2045,53,0,680584,1
2045,54,0,1824203,1
2045,61,0,2062027,1
2045,62,0,1880313,1
2046,11,0,10504248,1
2046,21,0,67138902,1
2046,31,0,210409243,1
2046,32,0,20004635,1
2046,41,0,534455,1
2046,42,0,154490,1
2046,43,0,726594,1
2046,51,0,89342,1
2046,52,0,15687625,1
2046,53,0,691891,1
2046,54,0,1854509,1
2046,61,0,2068533,1
2046,62,0,1886246,1
2047,11,0,10566202,1
2047,21,0,66947924,1
2047,31,0,212369280,1
2047,32,0,20190985,1
2047,41,0,540818,1
2047,42,0,156329,1
2047,43,0,735245,1
2047,51,0,90815,1
2047,52,0,15946302,1
2047,53,0,703300,1
2047,54,0,1885089,1
2047,61,0,2072906,1
2047,62,0,1890233,1
2048,11,0,10627410,1
2048,21,0,66782027,1
2048,31,0,214277619,1
2048,32,0,20372420,1
2048,41,0,547041,1
2048,42,0,158128,1
