sourceTypeID,yearID,ageID,ageFraction
11,1990,0,0.0513871570119324
11,1990,1,0.0509949630315563
11,1990,2,0.0636506316334354
11,1990,3,0.0793562496374298
11,1990,4,0.0737899015014771
11,1990,5,0.079332354071943
11,1990,6,0.0754064538218551
11,1990,7,0.0551975949272056
11,1990,8,0.0424264567240031
11,1990,9,0.0475070419382503
11,1990,10,0.0424722455834339
11,1990,11,0.0341585629949394
11,1990,12,0.0356546693500247
11,1990,13,0.0326505124903651
11,1990,14,0.029870327246915
11,1990,15,0.0272812606388593
11,1990,16,0.0248584271633265
11,1990,17,0.0225839103970005
11,1990,18,0.0204387969117543
11,1990,19,0.0184101486390655
11,1990,20,0.0164850203434442
11,1990,21,0.0146544575957986
11,1990,22,0.0129085047814948
11,1990,23,0.0112401943140955
11,1990,24,0.00964255751221008
11,1990,25,0.0081106178127867
11,1990,26,0.0066393990509385
11,1990,27,0.00522292765880273
11,1990,28,0.0038582173999247
11,1990,29,0.00254128732248664
11,1990,30,0.00010576254110378084
11,1990,31,0.00010116416975144254
11,1990,32,0.00009656579839910424
11,1990,33,0.00009196742704676595
11,1990,34,0.00008736905569442765
11,1990,35,0.00008277068434208935
11,1990,36,0.00007817231298975106
11,1990,37,0.00007357394163741275
11,1990,38,0.00006897557028507446
11,1990,39,0.00006437719893273615
11,1990,40,0.000418451793062785
11,1999,0,0.09723737844765953
11,1999,1,0.0733683342550422
11,1999,2,0.06113512672604532
11,1999,3,0.05533801544754899
11,1999,4,0.046135571627621025
11,1999,5,0.03794437472622269
11,1999,6,0.03385555356572256
11,1999,7,0.025058299535792247
11,1999,8,0.020585185337689663
11,1999,9,0.02181170132115431
11,1999,10,0.023967757090349314
11,1999,11,0.023583027319494097
11,1999,12,0.02926522898556798
11,1999,13,0.03843255026097942
11,1999,14,0.03397670218513793
11,1999,15,0.02615412838334513
11,1999,16,0.024591992115631223
11,1999,17,0.023147684765325107
11,1999,18,0.021804450928208763
11,1999,19,0.020670563418626397
11,1999,20,0.019672809437878875
11,1999,21,0.018743205722126163
11,1999,22,0.017836288007531363
11,1999,23,0.01691406741891007
11,1999,24,0.016052537306003922
11,1999,25,0.015187371084346753
11,1999,26,0.014415724770941647
11,1999,27,0.01373010075527866
11,1999,28,0.01328134474575931
11,1999,29,0.012831632166553154
11,1999,30,0.01191666918313866
11,1999,31,0.010839516198701857
11,1999,32,0.009443258276598802
11,1999,33,0.008117001768741559
11,1999,34,0.006967099075606998
11,1999,35,0.006059129723427887
11,1999,36,0.005133898136942879
11,1999,37,0.00437880313301156
11,1999,38,0.003896470596775433
11,1999,39,0.0034437790709473943
11,1999,40,0.033075666977613154
11,2000,0,0.10923805723835378
11,2000,1,0.0900617987953181
11,2000,2,0.06686574445707043
11,2000,3,0.05403245321332577
11,2000,4,0.048908850984326416
11,2000,5,0.04077554535709321
11,2000,6,0.03353600082286758
11,2000,7,0.029922219040778908
11,2000,8,0.0221470280958056
11,2000,9,0.018193600427611065
11,2000,10,0.01927762085996293
11,2000,11,0.021183186496508626
11,2000,12,0.020843154171644493
11,2000,13,0.025865199355303133
11,2000,14,0.033967462983587264
11,2000,15,0.030029292570008293
11,2000,16,0.02311554384560326
11,2000,17,0.021734897377609492
11,2000,18,0.02045838948879441
11,2000,19,0.019271212402685253
11,2000,20,0.018269059832103324
11,2000,21,0.017387224802659605
11,2000,22,0.016565622338220395
11,2000,23,0.015764070210912032
11,2000,24,0.01494899308939566
11,2000,25,0.014187555444163157
11,2000,26,0.013422904122462755
11,2000,27,0.01274090759373624
11,2000,28,0.012134939302037575
11,2000,29,0.01173831974624839
11,2000,30,0.011340854716596058
11,2000,31,0.010532191956983641
11,2000,32,0.009580182440314729
11,2000,33,0.008346141530929841
11,2000,34,0.007173969343266085
11,2000,35,0.006157662224160079
11,2000,36,0.005355180672430537
11,2000,37,0.0045374423687727155
11,2000,38,0.0038700742317886536
11,2000,39,0.0034437790709473943
11,2000,40,0.033075666977613154
11,2001,0,0.10957277637556137
11,2001,1,0.0972053022079966
11,2001,2,0.08014134076178862
11,2001,3,0.05950037067329078
11,2001,4,0.048080687961893666
11,2001,5,0.043521459102882215
11,2001,6,0.03628405071763293
11,2001,7,0.029841954143522736
11,2001,8,0.026626236479529466
11,2001,9,0.019707495844277223
11,2001,10,0.01618954485760059
11,2001,11,0.017154158623080572
11,2001,12,0.018849823012034594
11,2001,13,0.018547245817469648
11,2001,14,0.02301610430984088
11,2001,15,0.030225890024335414
11,2001,16,0.026721515680115295
11,2001,17,0.020569327961511466
11,2001,18,0.019340762015204824
