HPMSVtypeID,yearID,VMTGrowthFactor,HPMSBaseYearVMT
10,1990,0,11403872436
10,1999,0,13619301826
10,2000,0,12175484992
10,2001,0,11120467348
10,2002,0,11170812900
10,2003,0,11383690765
10,2004,0,14975235759
10,2005,0,13772997004
10,2006,0,19156824583
10,2007,0,21396183704
10,2008,0,20810707047
10,2009,0,20822042300
10,2010,0,18512901976
10,2011,0,18542233515
10,2012,0,21385314178
10,2013,0,20366179720
10,2014,0,19969667470
10,2015,0,19606314746
10,2016,0,20445304947
10,2017,0,20149299734
10,2018,0,20076176607
10,2019,0,19688045034
10,2020,0,17947467947
10,2021,0,19641861056
10,2022,0,23764862512
10,2023,0,24242411093
10,2024,0,24414730998
10,2025,0,24508884150
10,2026,0,24687708466
10,2027,0,24922028505
10,2028,0,25138459196
10,2029,0,25309025462
10,2030,0,25439366470
10,2031,0,25550549970
10,2032,0,25647280390
10,2033,0,25782818688
10,2034,0,25953483248
10,2035,0,26110795082
10,2036,0,26240182853
10,2037,0,26389752394
10,2038,0,26557943605
10,2039,0,26726720822
10,2040,0,26919638184
10,2041,0,27118075197
10,2042,0,27323945372
10,2043,0,27523612135
10,2044,0,27729215464
10,2045,0,27946897824
10,2046,0,28199584321
10,2047,0,28470836712
10,2048,0,28749119438
10,2049,0,29030795211
10,2050,0,29340725299
10,2051,0,29653964173
10,2052,0,29970547156
10,2053,0,30290509949
10,2054,0,30613888636
10,2055,0,30940719684
10,2056,0,31271039950
10,2057,0,31604886684
10,2058,0,31942297536
10,2059,0,32283310554
10,2060,0,32627964196
25,1990,0,1943194436354
25,1999,0,2401407874171
25,2000,0,2458220784953
25,2001,0,2499068565389
25,2002,0,2555467766325
25,2003,0,2579194684917
25,2004,0,2652091589138
25,2005,0,2677640994061
25,2006,0,2680537324880
25,2007,0,2691034205111
25,2008,0,2630213434125
25,2009,0,2633247713216
25,2010,0,2648456317230
25,2011,0,2650457904973
25,2012,0,2664059667241
25,2013,0,2677729881189
25,2014,0,2710555570631
25,2015,0,2779692921691
25,2016,0,2849718219559
25,2017,0,2877378062436
25,2018,0,2897082850175
